frame,param_0,param_1,param_2,param_3
0000,397.78619384765625,192.4300994873047,127.22650146484375,-0.043713945895433426
0001,335.85552978515625,192.09402465820312,127.54436492919922,0.016812868416309357
0002,253.32386779785156,191.52391052246094,127.84303283691406,0.004015093203634024
0003,251.5789794921875,191.5863800048828,127.76683044433594,0.08751648664474487
0004,241.73178100585938,191.6733856201172,127.51205444335938,0.018634149804711342
0005,208.99501037597656,191.35287475585938,127.89087677001953,0.015681501477956772
0006,196.85604858398438,191.20179748535156,127.83026885986328,-0.04605426639318466
